obstypevar,lead_time,rmse_diff,z_score,significance,n_samples
GX,17,0.003243631578947388,0.388086721676591,0.3020481420364467,38
TX,27,0.001680368421052587,0.1520817149258577,0.12087751417979564,38
CH,15,9.436742499999971,0.6093949508944698,0.45773731619332747,38
LC,2,0.06592926315789475,3.691117041923049,0.999776728637156,38
TT,7,0.002407210526315779,0.44074751651310917,0.3406042072115276,38
PE6,19,0.36365336842105256,2.0121933321711825,0.9558004388925421,38
TX,14,0.008604078947368489,0.9229827192762573,0.6439837891960276,38
VI,6,-132.11184434210554,1.1116085778744325,0.7336935172196812,38
PE3,11,0.23056234210526322,2.0291636605383765,0.9575583764494634,38
TN,6,-0.007137789473684176,1.3628411592786434,0.8270674237782629,38
RH,11,0.05371876315789459,1.1786830327989057,0.7614755856265174,38
DD,9,0.03069815789473763,0.18717186239316838,0.14847411449186765,38
TT,20,0.004908789473684193,1.0246384591821365,0.6944661893466766,38
LC,5,0.02600665789473685,1.1655043288427003,0.7561850909974114,38
VI,20,-91.69345002631512,0.5719431112817708,0.43263948406343444,38
GX,8,-0.002344315789473659,0.3464120767802,0.2709669496290301,38
TX,21,0.01042942105263159,1.565698704260183,0.8825808302213158,38
TT,33,0.008060026315789474,1.5626717840675755,0.8818701856507182,38
VI,16,-375.62851447368416,2.622841695108447,0.9912800221046816,38
TX,24,0.012500684210526337,1.2665718894099836,0.7946915908805247,38
SPS,5,-0.004163473684210614,2.602238119502539,0.9907382479585924,38
DD,13,0.21611036842105366,1.3133908677793198,0.8109487268405365,38
VI,30,27.287863815789695,0.3115899883730122,0.24464785616684404,38
VI,24,-96.84202747368435,0.6194431375075661,0.46437552938325766,38
SPS,17,-0.00025821052631577014,0.15392636485138103,0.12233220430854164,38
NN,3,0.00648589473684217,0.47772243064006975,0.36715222281374627,38
SPS,6,-0.004350710526315871,3.467732387417731,0.9994751302995156,38
VI,23,-240.67467742105245,1.1648697522599538,0.7559282810746051,38
PE6,12,0.03713365789473683,0.5332045256331124,0.40610799091806116,38
QQ,5,0.000015447368421052637,3.0071289168938997,0.9973627210604518,38
GX,36,0.005025421052631543,0.6525284140538111,0.4859396510217242,38
TN,4,0.0011719473684210634,0.09396102232875513,0.07485988061911997,38
NN,2,0.01834431578947369,0.9428010823845698,0.6542173420041711,38
PS,3,-0.0009595263157894735,0.3740453709365494,0.29162943899899285,38
RH,5,0.09280150000000004,2.10056478614783,0.9643208120717787,38
DD,0,0.20400344736842121,1.2804707528259436,0.7996203755638931,38
TX,11,0.004039684210526321,0.546171523783023,0.41505196148744183,38
DD,7,0.19295210526315754,1.0447517214450954,0.7038622665529345,38
TT,17,0.010926000000000009,1.7480999353195024,0.9195532757989352,38
RH,33,0.004584421052631629,0.13078055628427532,0.10405109528759693,38
TN,16,0.01454599999999999,1.497908616801194,0.8658430053794689,38
TX,18,0.003918552631578914,0.48079168321002075,0.3693354382286772,38
PE3,12,0.04471476315789474,1.0113507408180824,0.6881514114212435,38
PE3,4,0.13353184210526314,1.4269564933759655,0.846407564558176,38
NN,1,0.03529160526315793,1.962480871506187,0.9502934745074765,38
FF,19,-0.005321578947368399,1.064930966195476,0.713092829312796,38
TN,14,0.013490842105263148,0.975138110007327,0.670508243162583,38
RH,12,0.03514465789473696,0.8659434617484024,0.6134788324651697,38
TDD,22,0.010529289473684221,1.1296901497353387,0.7413931907145751,38
QQ,6,0.000011947368421052639,2.411252919969103,0.9841021804286392,38
LC,9,0.03877539473684207,2.618257246708211,0.991161984991579,38
CH,5,-13.624613973684182,0.6767246926849985,0.5014193534785005,38
DD,22,0.012939342105262784,0.06762515802544025,0.05391597196956477,38
QQ,15,0.000012684210526315825,3.006481633844602,0.9973570998136837,38
PS,12,0.009887210526315795,2.7278459254987517,0.993625062355298,38
PS,9,0.003961894736842094,1.1271302353435313,0.7403125784870062,38
DD,10,0.14341060526315835,0.7404121780332354,0.540950068321943,38
SPS,33,0.004664342105263207,2.235663709556234,0.9746261920848786,38
TDD,1,0.03805768421052635,3.1654987040293974,0.99845182648501,38
PE3,17,0.22771639473684208,1.9173787848133332,0.9448101725439575,38
TN,23,0.0210988157894737,2.843437316482137,0.9955370212718299,38
CH,11,22.979782552631576,1.299997637346467,0.8063982210583168,38
