obstypevar,lead_time,rmse_diff,z_score,significance,n_samples
FI,30,0.052713058718766595,0.2833881743572271,0.2231207075015864,38
DD,0,-1.4137383317384367,6.472245845315322,0.9999999999034431,38
TT,19,-0.004845609683299149,0.18465436536496022,0.14649985830216417,38
DD,9,0.4524071066269837,0.6833524193516284,0.505615821835484,20
FI,6,0.16064513718766607,1.7107460200280131,0.9128719917143784,38
TD,24,0.05589327013556623,2.0099349508384363,0.9555619259882514,38
DD,1,0.15260645614035084,0.8607624141591882,0.6106310902134369,38
FI,2,0.009555564992026021,0.24370262465784628,0.1925388595323606,38
FI,1,-0.009336677631579667,0.2179109634916982,0.1725015152205076,38
TD,33,-0.07309486099773232,1.045845280949522,0.704367528715715,21
DD,15,0.48136213283830387,1.1837557288830152,0.7634902284212578,36
FI,17,-0.030165316154970763,0.1806341953201253,0.1433452866107332,38
FI,0,-0.22183532555821325,4.791458316807354,0.99999834426578,38
FF,24,-0.018872375398724005,0.8786924049999032,0.6204319221922356,38
TT,30,0.0045921820707070906,0.17215438362739474,0.13668384102921505,38
RH,36,0.032956362838915135,0.27543111675644283,0.21701495949559524,38
FF,2,0.017948714513556653,1.236930350331077,0.7838870587223495,38
TD,18,0.11406504076289209,1.3184349333305814,0.8126419069053838,38
TD,1,0.07671720394736829,1.7123574029540503,0.9131691759519784,38
QQ,23,-0.000011702537593984976,1.4643020915107559,0.8568885740304604,38
RH,16,-0.11122085310696195,0.4668809510397202,0.35941494532546603,16
FI,9,0.03830156238095228,0.3228611246329787,0.2531995810603602,20
QQ,15,8.683504689754708e-6,0.9599946692076924,0.6629421021320238,36
QQ,16,8.012261002886007e-6,0.4936578305749596,0.3784521485825669,16
RH,13,0.20072153289473674,2.14842415504032,0.9683199244031231,38
DD,2,0.3880228407097287,1.5859318215632912,0.8872452236835535,38
TT,5,-0.0024504008458646623,0.11899407120262205,0.09471994709652076,38
DD,8,0.6405491111006688,0.6212563651720999,0.4655690413022755,38
RH,4,-0.27980174898538956,0.5752889124288147,0.43490408111428225,16
QQ,13,0.000012728070175438606,2.5891818671333517,0.990379572981484,38
DD,5,-0.07277562750626558,0.06840053195082449,0.054533201611770776,38
TD,15,0.06147103470017633,1.1835086149131038,0.7633923656958002,36
FI,14,0.054386417264753184,1.7710050667158248,0.9234401408256137,38
FF,15,0.11066561617564534,2.794391335581314,0.9948002487304741,36
QQ,1,-7.4013157894736805e-6,1.9535731491854051,0.9492482813512007,38
RH,2,-0.03951672587719295,0.40613921958521243,0.31535968988347585,38
DD,30,1.4685862074561398,1.1357536242052586,0.7439403089720277,38
TD,0,-0.07226779824561397,1.0317989418415354,0.6978336849066689,38
TD,4,0.03433945129870132,0.31293603317422086,0.24567073905403813,16
TT,36,0.012607484051036712,2.03146820072762,0.957792477860187,38
DD,27,-0.07991769307158841,0.2084848957126272,0.16514962499241148,36
QQ,3,-7.820941558441569e-6,0.775222367975296,0.5617917269352855,36
DD,36,0.07911614393939455,0.22287643507820426,0.1763683228077162,38
FF,23,-0.034914173872180564,1.179494610971694,0.7617987186728805,38
FF,12,0.02150604724880398,0.8597217814291347,0.6100575749196699,38
QQ,17,-0.00003068695697577277,1.1478488193195033,0.7489690203265167,38
RH,1,-0.07267140350877206,0.9346934176907435,0.6500536799225012,38
RH,0,-0.9017460588118025,7.907759094189491,0.9999999999999973,38
RH,14,-0.044236630980861995,0.42371489868264917,0.3282262516772546,38
RH,9,0.5968399918650795,1.143817201366397,0.7473005454057706,20
TT,22,-0.015456349206349175,0.5943803972630314,0.4477422834517897,12
RH,24,0.2283174856459329,2.31491798639797,0.9793825791719135,38
FI,18,-0.1375890779239764,0.7130711910178503,0.5241982946288626,38
QQ,22,0.00002970416666666667,1.1337162548289474,0.7430864109804147,12
QQ,6,-0.00003455358187134504,0.889657019147466,0.6263499206016085,38
TD,23,-0.035018695071010894,0.9298572736383959,0.647555012448013,38
FF,13,0.0055602017543860726,0.3564262762836381,0.2784786458522791,38
