obstypevar,lead_time,rmse_diff,z_score,significance,n_samples
temp_v,3,0.05124456645384496,1.2635090485913363,0.7935937031977462,16
temp_q,6,0.00006058997797383459,1.2075017698365218,0.7727610361102735,13
temp_q,12,0.000024084945702950085,3.5615639607622067,0.9996313477269154,25
temp_u,6,-0.024589448734921894,0.5732876588955335,0.4335500599993456,13
temp_t,6,0.03704389762876704,1.1245253839406388,0.7392097919136548,13
amsua_tb,24,0.006569705951179328,9.808798328944784,1.0,13
temp_q,0,-0.00004740581816569939,16.778564440074522,1.0,25
temp_u,3,0.006650831718420104,0.08508441100011148,0.06780571641840205,16
airep_u,3,0.036789917871356076,2.024944724207191,0.9571269595422403,25
atms_tb,0,-0.015945638566073127,2.9365602428225324,0.9966812564698597,25
temp_u,21,-0.11048832068886501,1.1178580926229817,0.7363723941700899,10
temp_u,18,0.08307892264662997,0.8367389233997329,0.5972606648211155,13
mhs_tb,6,0.02489057864880755,2.1551242351365154,0.9688478862936083,23
airep_t,0,-0.06807981721264132,29.658720089836812,1.0,25
mwhs2_tb,0,-0.038121940298019984,2.4310297793143665,0.9849440229556519,23
amsua_tb,9,0.009227860825792437,24.692400178403766,1.0,26
temp_v,6,0.09424775611245363,1.7073375688044932,0.912240672936267,13
mwhs2_tb,15,0.012931401632722465,1.6038527418776838,0.8912534842438891,25
atms_tb,9,0.016386332850397537,3.092821992987909,0.9980173698024799,13
temp_u,24,-0.00957667004602051,0.6844279156261163,0.5062950066153464,25
mhs_tb,15,0.009265326568710743,0.7215362880535897,0.5294203775490661,13
airep_t,12,0.009950205783670465,1.9908559855410723,0.9535032777114614,25
mhs_tb,9,0.03402685433292078,2.745710273955199,0.9939619939945907,26
temp_u,15,0.08424990709974985,1.6668398184231312,0.9044537397665018,16
airep_v,6,0.04763431918354582,3.8402954351347307,0.9998771136650318,26
atms_tb,24,0.0077018943193960165,1.2666262153976753,0.7947110258651806,25
mhs_tb,0,-0.133240068132154,11.694980583587444,1.0,13
temp_q,21,0.00004669704448013724,2.104196779192326,0.9646387146169589,2
temp_q,9,-0.00010251134888531008,3.070728800085121,0.9978646299010566,2
temp_v,21,-0.06101822736896352,1.3385538466934757,0.8192840403318014,10
atms_tb,15,0.026574836463958838,2.555081963560603,0.9893837203909244,22
mwhs2_tb,9,0.008880476190026342,0.6995784265417507,0.5158093807701978,13
mwhs2_tb,12,0.027342049242010016,2.263159293672526,0.9763741284769518,23
temp_t,15,-0.027895585398353344,1.5661564992031427,0.8826880161946341,16
airep_u,6,0.031622753225431136,2.9824116002635406,0.9971401277498154,26
amsua_tb,21,0.009686739855509758,15.768767345231772,1.0,26
temp_v,24,0.00899118883723899,0.4947666199437038,0.3792351306451577,25
airep_t,18,0.0027872433838802045,0.7375871170843207,0.5392346135886519,26
mhs_tb,18,0.004626704262829209,0.2368522160820878,0.18722855872893462,23
temp_v,15,-0.024782748506265162,0.6882040294783043,0.5086756931960092,16
amsua_tb,12,0.006392569438282343,9.907139366376818,1.0,13
temp_v,12,0.01957017124578285,1.3275096528543808,0.8156598510438733,25
mwhs2_tb,6,0.014719162122973315,1.690411737738286,0.9090507889809512,26
mhs_tb,12,-0.01344076398838213,0.38466428139261094,0.29951383802402753,13
amsua_tb,18,0.006580289042751609,5.740058791243851,0.9999999905356312,23
airep_t,21,0.0029114774292592948,0.7579950943881307,0.5515460805028471,26
temp_u,12,0.03866810068684898,3.0169350841520877,0.9974465551216526,25
airep_u,15,0.008557359496029582,0.4886782197224472,0.3749304740538659,25
temp_u,0,-0.07983357655115345,32.090283646018364,1.0,25
temp_v,9,-0.007185377752155953,0.9285140963354725,0.6468590408678859,10
mwhs2_tb,3,0.005234219994378773,0.8906038653428061,0.626858275186053,25
airep_u,12,0.028405240324284355,1.4145306380703428,0.8427938418319552,25
airep_t,24,0.006813756851447601,1.5579442221688116,0.8807535290243843,25
airep_u,0,-0.18966961765800205,19.307339313391346,1.0,25
airep_t,15,0.007786002431053691,1.9144841047715098,0.9444416717772729,25
temp_v,18,0.17518550084280868,1.3499131926864893,0.8229561706020406,13
temp_u,9,-0.012896132864544274,0.4831876437755497,0.37103749207634906,10
mwhs2_tb,24,0.033652712307212757,1.9462847226772155,0.9483794523048601,23
temp_q,3,-0.000018123291190143665,0.5449701753752495,0.41422596980215076,16
airep_t,6,0.004442696237847987,1.507214208035733,0.8682442404402688,26
temp_t,12,0.010886645130651785,4.734783130785422,0.9999978071054771,25
airep_u,21,-0.005538207611052657,0.31081521238436877,0.24405889571537442,26
mwhs2_tb,21,0.005830797358131728,0.5401379224733006,0.410898080329542,13
mwhs2_tb,18,0.033447884986025106,3.299319810651627,0.9990308057373898,26
airep_v,12,0.034750526627350266,1.844887653452984,0.9349461169435604,25
airep_u,24,0.0195253343168391,1.1050824681317206,0.7308761434384086,25
airep_v,21,0.003072429196641191,0.19763693974142943,0.15667086891023918,26
atms_tb,6,0.009829678884810063,1.94497070895749,0.9482214962463497,13
mhs_tb,3,0.015758143831082514,0.978875252395567,0.6723583785992292,13
amsua_tb,15,0.0006678713254944641,1.3139825009511215,0.8111479068739385,13
airep_u,9,0.026426036056085393,1.574037299702443,0.8845211735061514,26
airep_v,9,0.02457434437283026,1.9518994155903355,0.9490498523068368,26
mhs_tb,21,0.04740310737616133,3.980273308562043,0.9999311639195108,26
airep_v,0,-0.18577855919312877,21.517374880874485,1.0,25
airep_v,24,0.01480085566746542,0.8307272250420944,0.5938722572568851,25
temp_t,21,0.02435127519513063,1.8572661540337734,0.9367267027784343,10
amsua_tb,6,0.004406888673289454,4.455220052210367,0.9999916192810743,23
amsua_tb,3,-0.00010757035891254839,0.2724234919763725,0.21470358845547766,13
temp_t,24,-0.0038574001589648786,0.8967457531903262,0.6301453996531821,25
temp_t,0,-0.045741929790936935,34.816977389474765,1.0,25
temp_t,9,-0.0051349885673287856,0.3101714634878719,0.24356943005204312,10
amsua_tb,0,-0.0040171540787516495,14.723796772921354,1.0,13
temp_t,18,0.019714757785353112,0.6707437925334276,0.4976162402489035,13
airep_t,9,0.01050269588792971,4.2421156996925635,0.9999778577515713,26
airep_v,3,0.016502864535675732,1.3614733357845292,0.826635845632964,25
atms_tb,18,0.008128424705516394,1.574429387074096,0.8846117856324939,13
atms_tb,12,0.03054191416178685,5.7109071032244385,0.9999999887624422,25
temp_q,18,0.0000369687758087869,1.3290297582507835,0.8161618477041191,13
airep_v,15,0.012875511315134177,0.8152577860357096,0.5850752331169216,25
atms_tb,21,0.019140785532314294,3.855198423975715,0.9998843641999323,13
mhs_tb,24,0.004640513057026208,0.28348317620347013,0.22319352360136435,13
airep_t,3,0.00031243027387520164,0.0795167707664202,0.06337840729296285,25
temp_t,3,-0.01942561337228602,1.2783067993780988,0.7988587286512598,16
airep_v,18,-0.005446503452435247,0.3750338853759555,0.2923647340846428,26
temp_q,15,0.00001676969386726111,0.6957244683217937,0.5133986009117295,16
temp_q,24,7.389767981338447e-6,0.7314279993556669,0.5354822317911495,25
atms_tb,3,0.01691226112151881,2.559027378421724,0.98950345256113,22
airep_u,18,0.004689012178658554,0.4365250268511049,0.3375441546910726,26
temp_v,0,-0.07778705142216635,36.139175007333996,1.0,25
