obstypevar,lead_time,rmse_diff,z_score,significance,n_samples
temp_u,15,0.0842499070997498,1.6668398184231306,0.9044537397665017,16
amsua_tb,3,-0.00010757035891255053,0.2724234919763742,0.214703588455479,13
temp_v,3,0.051244566453845015,1.2635090485913376,0.7935937031977467,16
temp_v,12,0.019570171245783037,1.3275096528543915,0.8156598510438768,25
temp_q,24,7.389767981338508e-6,0.7314279993556725,0.5354822317911528,25
airep_v,21,0.0030724291966412165,0.19763693974143082,0.1566708689102403,26
temp_v,0,-0.07778705142216637,36.139175007334046,1.0,25
temp_t,21,0.024351275195130646,1.8572661540337747,0.9367267027784345,10
mhs_tb,24,0.004640513057026208,0.28348317620346986,0.22319352360136413,13
atms_tb,0,-0.01594563856607312,2.9365602428225386,0.9966812564698598,25
atms_tb,18,0.008128424705516394,1.5744293870740973,0.8846117856324942,13
mwhs2_tb,9,0.008880476190026392,0.6995784265417535,0.5158093807701994,13
atms_tb,15,0.026574836463958848,2.5550819635606032,0.9893837203909244,22
amsua_tb,0,-0.004017154078751667,14.723796772921336,1.0,13
temp_v,18,0.17518550084280876,1.3499131926864902,0.8229561706020408,13
atms_tb,24,0.00770189431939591,1.266626215397658,0.7947110258651744,25
airep_u,24,0.019525334316838974,1.1050824681317115,0.7308761434384047,25
atms_tb,9,0.01638633285039759,3.0928219929879157,0.99801736980248,13
airep_v,0,-0.18577855919312874,21.517374880874517,1.0,25
airep_u,18,0.004689012178658469,0.43652502685109684,0.3375441546910667,26
temp_v,21,-0.06101822736896345,1.3385538466934732,0.8192840403318006,10
temp_q,3,-0.000018123291190143676,0.5449701753752499,0.4142259698021511,16
airep_u,6,0.031622753225431136,2.9824116002635366,0.9971401277498154,26
mhs_tb,6,0.024890578648807508,2.155124235136512,0.9688478862936081,23
airep_t,24,0.006813756851447619,1.5579442221688184,0.880753529024386,25
temp_t,18,0.01971475778535314,0.6707437925334289,0.4976162402489043,13
temp_t,15,-0.02789558539835332,1.5661564992031407,0.8826880161946337,16
temp_t,3,-0.019425613372286023,1.2783067993780994,0.7988587286512601,16
amsua_tb,24,0.00656970595117932,9.80879832894477,1.0,13
airep_t,3,0.0003124302738752416,0.07951677076643032,0.06337840729297084,25
airep_t,6,0.004442696237847996,1.5072142080357331,0.8682442404402689,26
mhs_tb,21,0.04740310737616128,3.98027330856204,0.9999311639195108,26
temp_q,9,-0.00010251134888531008,3.070728800085121,0.9978646299010566,2
airep_v,24,0.014800855667465234,0.8307272250420829,0.5938722572568786,25
mhs_tb,15,0.00926532656871081,0.7215362880535942,0.5294203775490689,13
temp_q,21,0.00004669704448013719,2.1041967791923186,0.9646387146169584,2
mwhs2_tb,0,-0.03812194029802,2.431029779314369,0.984944022955652,23
airep_u,3,0.036789917871355986,2.024944724207188,0.9571269595422399,25
temp_u,6,-0.02458944873492191,0.5732876588955347,0.43355005999934637,13
temp_q,12,0.0000240849457029501,3.5615639607622054,0.9996313477269154,25
amsua_tb,21,0.009686739855509774,15.768767345231764,1.0,26
amsua_tb,15,0.0006678713254944684,1.313982500951132,0.811147906873942,13
mhs_tb,9,0.034026854332920804,2.7457102739552006,0.9939619939945908,26
mwhs2_tb,6,0.014719162122973365,1.690411737738293,0.9090507889809525,26
atms_tb,3,0.01691226112151882,2.5590273784217215,0.9895034525611299,22
temp_t,12,0.010886645130651797,4.734783130785453,0.9999978071054771,25
temp_q,6,0.000060589977973834604,1.2075017698365211,0.7727610361102732,13
airep_t,12,0.009950205783670446,1.99085598554107,0.9535032777114612,25
mwhs2_tb,21,0.005830797358131677,0.5401379224732956,0.41089808032953856,13
amsua_tb,12,0.006392569438282352,9.907139366376814,1.0,13
airep_u,15,0.008557359496029626,0.4886782197224488,0.37493047405386704,25
temp_u,9,-0.012896132864544274,0.4831876437755498,0.3710374920763492,10
temp_u,18,0.08307892264662962,0.8367389233997301,0.5972606648211138,13
airep_v,12,0.03475052662735013,1.844887653452978,0.9349461169435596,25
temp_q,18,0.00003696877580878694,1.329029758250784,0.8161618477041193,13
temp_u,12,0.0386681006868491,3.0169350841521108,0.9974465551216528,25
amsua_tb,6,0.004406888673289451,4.455220052210363,0.9999916192810743,23
airep_u,12,0.028405240324284264,1.4145306380703377,0.8427938418319537,25
temp_q,15,0.000016769693867261064,0.6957244683217918,0.5133986009117282,16
temp_t,6,0.03704389762876702,1.1245253839406375,0.7392097919136542,13
temp_v,15,-0.02478274850626512,0.6882040294783031,0.5086756931960086,16
airep_t,0,-0.06807981721264131,29.65872008983676,1.0,25
temp_t,0,-0.04574192979093697,34.81697738947468,1.0,25
airep_v,3,0.016502864535675715,1.361473335784528,0.8266358456329636,25
mhs_tb,18,0.004626704262829209,0.2368522160820878,0.18722855872893462,23
mhs_tb,3,0.015758143831082545,0.9788752523955679,0.6723583785992295,13
airep_v,18,-0.0054465034524351875,0.375033885375952,0.29236473408464025,26
atms_tb,6,0.009829678884810037,1.9449707089574857,0.9482214962463492,13
airep_u,21,-0.005538207611052606,0.31081521238436616,0.24405889571537243,26
airep_u,9,0.026426036056085418,1.5740372997024457,0.8845211735061521,26
atms_tb,12,0.03054191416178687,5.7109071032244545,0.9999999887624422,25
